table_name,json_key,inferred_value_type,example_values_compact,n_distinct_example_values,likely_meaning,safe_for_feature_extraction,features_supported,interpretation_warning
applications_foreground,application_name,string,"""CAVIA""",1,App identifier,yes,"unique apps, app diversity, app mix",System-app noise should be filtered where possible.
applications_foreground,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Device identifier,yes,episode aggregation only,Not a behavior signal.
applications_foreground,is_system_app,string,"""0""",1,System app indicator,yes,split user vs system app events,Value coding should be validated (0/1 vs text).
applications_foreground,package_name,string,"""com.aware.phone""",1,App identifier,yes,"unique apps, app diversity, app mix",System-app noise should be filtered where possible.
applications_foreground,timestamp,number,1743325074320,1,Event timestamp,yes,"event count, active days",None
aware_log,device_id,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",1,Unclear / generic metadata,manual_review,manual review required,Needs manual key mapping/validation.
aware_log,log_message,string,"""Scheduler triggered: schedule_aware_keep_alive schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_keep_alive\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_KEEP_ALIVE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":30,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""Scheduler triggered: schedule_aware_study_compliance schedule: {\""schedule\"":{\""schedule_id\"":\""schedule_aware_study_compliance\"",\""action\"":{\""type\"":\""service\"",\""intent_action\"":\""ACTION_AWARE_STUDY_COMPLIANCE\"",\""class\"":\""com.aware.phone\\/com.aware.Aware\""},\""trigger\"":{\""interval\"":10,\""random\"":{},\""context\"":[],\""condition\"":[],\""hour\"":[],\""minute\"":[],\""month\"":[],\""weekday\"":[]}}} package: com.aware.phone"" | ""STUDY-SYNC: aware_device"" | ""{\""internet\"":true,\""wifi\"":true,\""bt\"":true,\""network\"":true,\""airplane\"":false,\""roaming\"":false,\""location_gps\"":true,\""location_network\"":true}"" | ""STUDY-SYNC: screen"" | ""STUDY-SYNC: sensor_accelerometer"" | ""STUDY-SYNC: calls"" | ""STUDY-SYNC: sensor_gyroscope"" | ""STUDY-SYNC: sensor_rotation"" | ""STUDY-SYNC: sensor_light"" | ""STUDY-SYNC: keyboard"" | ""STUDY-SYNC: telephony"" | ""STUDY-SYNC: sensor_proximity"" | ""STUDY-SYNC: sensor_gravity"" | ""STUDY-SYNC: gsm"" | ""STUDY-SYNC: messages"" | ""{\""table\"":\""aware_device\"",\""last_sync_timestamp\"":1743325046197}"" | ""{\""table\"":\""sensor_accelerometer\"",\""last_sync_timestamp\"":1743325072887}"" | ""STUDY-SYNC: aware_studies"" | ""{\""table\"":\""screen\"",\""last_sync_timestamp\"":1743325072941}""",20,System/logging message,yes,data quality denominator features,Not direct phenotype; keep data-quality only.
aware_log,timestamp,number,1743325072850 | 1743325072862 | 1743325073674 | 1743325073796 | 1743325073835 | 1743325073836 | 1743325073848 | 1743325073853 | 1743325073857 | 1743325073858 | 1743325073862 | 1743325073863 | 1743325073872 | 1743325073874 | 1743325074198 | 1743325074209 | 1743325074258 | 1743325074281 | 1743325074296 | 1743325074308,20,Log timestamp,yes,"coverage days, logging density",Data-quality only usage.
gsm,bit_error_rate,string,"""2147483647""",1,Radio quality metric,manual_review,optional quality context,May have sentinel values; validate before use.
gsm,cid,string,"""3949591"" | ""-1"" | ""3949601"" | ""3538966""",4,Cell/tower context fields,yes,context diversity and stability proxies,Network infrastructure confounding likely.
