source_table,feature_name,feature_family,short_description,selection_reason,privacy_note,selected_date,window_class,primary_model_recommendation,source_column,missing_percent,acquisition_window_class
barometer,barometer_downward_transition_count,barometer_vertical_transition,Count detected transitions where pressure increases enough to imply downward elevation change,Selected to capture likely downward vertical movement context,Exploratory support feature only; not posture and not diagnostic,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_downward_transition_count,100.0,t1_10day_first_available
barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,Sum absolute estimated elevation change across detected large transitions using 8.3 meters per hPa,Selected to capture cumulative vertical movement context,Approximate only and depends on smoothing thresholds and environmental pressure stability,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_estimated_elevation_change_m,100.0,t1_10day_first_available
barometer,barometer_large_vertical_shift_count,barometer_vertical_transition,Count detected smoothed elevation transitions with absolute change at least 3 meters,Selected to capture meaningful vertical pressure shifts after smoothing,Exploratory signal-derived support feature; weather and phone carriage can confound interpretation,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_large_vertical_shift_count,100.0,t1_10day_first_available
barometer,barometer_pressure_range,barometer_vertical_context,Max pressure minus min pressure from cleaned pressure in adjusted first-available 7-day window,Selected for adjusted barometer vertical-context signal analysis,Delayed adjusted window only; pressure affected by altitude weather hardware and sampling coverage,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_pressure_range,100.0,t1_10day_first_available
barometer,barometer_pressure_sd,barometer_vertical_context,Standard deviation of cleaned pressure in adjusted first-available 7-day window,Selected for adjusted barometer pressure variability analysis,Delayed adjusted window only; not a direct behavioral or clinical measure,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_pressure_sd,100.0,t1_10day_first_available
barometer,barometer_upward_transition_count,barometer_vertical_transition,Count detected transitions where pressure decreases enough to imply upward elevation change,Selected to capture likely upward vertical movement context,Exploratory support feature only; not posture and not diagnostic,2026-07-14,adjusted_first_available_7d,adjusted_sensitivity,barometer_upward_transition_count,100.0,t1_10day_first_available
sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_metadata_coverage,Count unique local hours with at least one sensor_linear_accelerometer metadata row,Selected as metadata temporal-spread support for adjusted delayed analysis,Data availability support only; missing is not no movement,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,sensor_linear_accelerometer_active_hour_count,100.0,t1_10day_first_available
sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_metadata_coverage,Count sensor_linear_accelerometer rows in the adjusted first-available 7-day window,Selected as metadata logging volume for adjusted delayed analysis,Hardware metadata only; not raw movement or acceleration,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,sensor_linear_accelerometer_event_count,100.0,t1_10day_first_available
sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,sensor_hardware_context,Median observed double_sensor_maximum_range in adjusted first-available window,Selected as hardware range context,Hardware metadata only; not movement behavior,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,sensor_linear_accelerometer_maximum_range,100.0,t1_10day_first_available
sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,sensor_hardware_context,Median observed double_sensor_power_ma in adjusted first-available window,Selected as hardware power/capability context,Hardware metadata only; not patient behavior,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,sensor_linear_accelerometer_power_ma,100.0,t1_10day_first_available
sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,sensor_hardware_context,Median observed double_sensor_resolution in adjusted first-available window,Selected as hardware resolution context,Hardware metadata only; not movement behavior,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,sensor_linear_accelerometer_resolution,100.0,t1_10day_first_available
significant,significant_active_hour_count,significant_temporal_spread,Count unique local hours with at least one significant row,Selected for significant-only adjusted delayed first-available analysis,Data availability and timing support; missing is not no movement,2026-07-13,adjusted_first_available_7d,adjusted_sensitivity,significant_active_hour_count,100.0,t1_10day_first_available
