feature_name,feature_group,definition,interpretation,feature_role,role_reason,recommended_transform,recommended_patient_aggregation,patient_day_count_total,patient_day_observed_count,patient_day_missingness_percent,patient_count_total,patient_observed_count,patient_level_missingness_percent,mean,sd,median,q1,q3,iqr,minimum,maximum,strongest_technical_variable,strongest_abs_spearman_correlation,technical_review_status,pilot_selection_allowed
accelerometer_raw_row_count,quality,Number of raw general-accelerometer rows returned for the mapped device and local day.,Collection volume; not a movement measure.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,908177.5714285715,787549.0376651385,594000.0,497105.5,1236970.0,739864.5,2000.0,2293092.0,accelerometer_valid_signal_minutes,0.5714285714285715,not_flagged,no
accelerometer_valid_numeric_row_count,quality,"Rows containing valid numeric x, y, and z values after JSON parsing.",Usable signal count.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,908177.5714285715,787549.0376651385,594000.0,497105.5,1236970.0,739864.5,2000.0,2293092.0,accelerometer_raw_row_count,1.0,review,no
accelerometer_exact_duplicate_rows_removed,quality,Duplicate rows with the same timestamp and all three signal values removed before feature calculation.,Data-integrity audit measure.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,not_flagged,no
accelerometer_valid_signal_minutes,quality,Number of local clock minutes containing at least one valid three-axis signal.,Observed time coverage; not equivalent to continuous recording.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,372.57142857142856,303.5148854904578,333.0,184.5,544.0,359.5,3.0,815.0,accelerometer_calendar_coverage_fraction,1.0,review,no
accelerometer_calendar_coverage_fraction,quality,Valid signal minutes divided by the number of minutes in the local calendar day.,Coarse day-level coverage indicator.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.2587301587301587,0.21077422603504017,0.23125,0.12812499999999993,0.37777777777777777,0.24965277777777783,0.0020833333333333,0.5659722222222222,accelerometer_valid_signal_minutes,1.0,review,no
accelerometer_observed_span_hours,quality,Elapsed time from the first to the last valid signal in the day.,Extent of the observed interval; gaps inside the interval remain possible.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,7.232583055555556,5.7693182056647725,5.545593055555556,3.0555761111111113,12.679031388888887,9.623455277777776,0.0380594444444444,13.57521388888889,accelerometer_valid_signal_minutes,0.9642857142857145,review,no
accelerometer_median_sampling_interval_ms,quality,Median positive interval between consecutive valid timestamps.,Observed timing regularity and approximate sampling interval.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,62.142857142857146,55.420900303731905,29.0,25.0,86.0,61.0,20.0,164.0,accelerometer_valid_signal_minutes,0.2702812388086677,not_flagged,no
accelerometer_p95_sampling_interval_ms,quality,95th percentile of positive intervals between consecutive valid timestamps.,Tail of sampling gaps.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,179.57142857142858,25.67655962713296,181.0,164.5,189.0,24.5,145.0,224.0,accelerometer_observed_span_hours,0.7207499701564473,review,no
accelerometer_gap_burden_fraction,quality,Seconds in gaps longer than one second divided by the 24-hour calendar day.,Conservative fragmentation indicator; it is not missingness imputed as zero movement.,qc_only,"Use to audit collection intensity, missingness, sampling, and fragmentation; exclude from the primary behavior panel.",Retain for QC; do not use as a primary behavioral predictor.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,0.043735138888888844,0.11427791033766997,0.0007013541666666,0.00035116319444439997,0.0009252430555554999,0.0005740798611111,0.0,0.3028918055555555,accelerometer_raw_row_count,0.5714285714285715,not_flagged,no
accelerometer_magnitude_median,signal_level,Median vector magnitude sqrt(x^2 + y^2 + z^2).,Includes gravity and phone orientation; not a direct body-acceleration measure.,sensitivity_only,"Review as a sensitivity feature because gravity, phone orientation, and phone placement can affect the signal.",Inspect skew and outliers; fit robust scaling inside each training fold.,median across completed patient-local days,7,7,0.0,59,7,88.13559322033898,8.6831774097525,3.1159887147860132,9.868061526997174,9.732764868440608,9.907242530215637,0.174477661775029,1.6212706545233564,10.012894889434476,accelerometer_raw_row_count,0.5357142857142858,not_flagged,no
