feature_name,source_table,phase1_role,required_json_keys,window_level,aggregation_logic_plain_english,expected_unit,behavioral_interpretation,higher_value_means,minimum_required_rows,minimum_required_days,missing_data_interpretation,quality_flag_needed,extraction_priority,extraction_status
screen_event_count,screen,core_phenotype,timestamp,early_and_late,Count rows per window.,count,Overall screen interaction intensity.,more screen-related events,30,2,Missing rows may be sensor/logging missingness.,aware_log_coverage_flag,high,planned
active_screen_days,screen,core_phenotype,timestamp,early_and_late,Count distinct days with >=1 row.,days,Regularity of screen activity.,more active days,30,2,Do not treat missing as inactivity.,aware_log_coverage_flag,high,planned
night_screen_event_count,screen,core_phenotype,timestamp(+local hour),early_and_late,Count events in local night hours.,count,Possible night-time phone activity pattern.,more night events,30,2,Sparse logs can bias night estimates.,aware_log_coverage_flag,medium,planned
screen_events_per_active_day,screen,core_phenotype,timestamp,early_and_late,screen_event_count / active_screen_days.,count/day,Daily intensity on active days.,higher event density,30,2,Undefined if no active days.,aware_log_coverage_flag,high,planned
app_foreground_event_count,applications_foreground,core_phenotype,timestamp,early_and_late,Count foreground events.,count,Overall app engagement intensity.,more app events,30,2,May reflect background/system activity.,aware_log_coverage_flag,high,planned
active_app_days,applications_foreground,core_phenotype,timestamp,early_and_late,Count distinct days with foreground events.,days,Regular app usage days.,more active days,30,2,Missing rows not equal no app use.,aware_log_coverage_flag,high,planned
unique_foreground_apps,applications_foreground,core_phenotype,package_name or application_name,early_and_late,Count unique app identifiers.,count,Breadth/diversity of app usage.,higher diversity,30,2,Depends on availability of package/application key.,aware_log_coverage_flag,medium,planned
app_use_diversity,applications_foreground,core_phenotype,package_name or application_name,early_and_late,Compute entropy/diversity from app event distribution.,index,Behavioral diversity of app interactions.,higher diversity,50,2,Unstable for low counts.,aware_log_coverage_flag,medium,planned
keyboard_event_count,keyboard,core_phenotype,timestamp,early_and_late,Count keyboard rows.,count,Text-input interaction intensity.,more keyboard activity,20,2,Do not infer inactivity from missing rows.,aware_log_coverage_flag,high,planned
active_keyboard_days,keyboard,core_phenotype,timestamp,early_and_late,Count distinct days with keyboard events.,days,Regularity of keyboard use.,more active days,20,2,Sparse days reduce comparability.,aware_log_coverage_flag,high,planned
keyboard_events_per_active_day,keyboard,core_phenotype,timestamp,early_and_late,keyboard_event_count / active_keyboard_days.,count/day,Daily keyboard intensity.,higher typing intensity,20,2,Undefined if no active days.,aware_log_coverage_flag,high,planned
touch_event_count,touch,core_phenotype,timestamp,early_and_late,Count touch events.,count,Phone interaction intensity.,more interaction,30,2,Missing rows may be logging gaps.,aware_log_coverage_flag,high,planned
active_touch_days,touch,core_phenotype,timestamp,early_and_late,Count distinct days with touch events.,days,Regularity of interaction.,more active days,30,2,Not comparable when sparse.,aware_log_coverage_flag,high,planned
touch_events_per_active_day,touch,core_phenotype,timestamp,early_and_late,touch_event_count / active_touch_days.,count/day,Daily interaction density.,higher density,30,2,Undefined if no active days.,aware_log_coverage_flag,high,planned
activity_event_count,plugin_google_activity_recognition,core_phenotype,timestamp,early_and_late,Count activity recognition events.,count,Sampling density of inferred activity states.,more observed activity events,20,2,No events may be missing logging.,aware_log_coverage_flag,high,planned
active_activity_days,plugin_google_activity_recognition,core_phenotype,timestamp,early_and_late,Count distinct days with activity events.,days,Days with inferred movement context.,more active days,20,2,Sparse coverage limits change analysis.,aware_log_coverage_flag,high,planned
still_event_count,plugin_google_activity_recognition,core_phenotype,activity_name/activity_type,early_and_late,Count events labeled still.,count,Sedentary context proportion/intensity.,more still-state observations,20,2,Depends on key semantics.,aware_log_coverage_flag,medium,planned
walking_event_count,plugin_google_activity_recognition,core_phenotype,activity_name/activity_type,early_and_late,Count events labeled walking.,count,Walking-related activity signal.,more walking-state observations,20,2,Depends on label availability.,aware_log_coverage_flag,medium,planned
in_vehicle_event_count,plugin_google_activity_recognition,core_phenotype,activity_name/activity_type,early_and_late,Count events labeled in_vehicle.,count,Mobility-by-transport context.,more in-vehicle observations,20,2,Can reflect travel routine differences.,aware_log_coverage_flag,medium,planned
activity_diversity,plugin_google_activity_recognition,core_phenotype,activity_name/activity_type,early_and_late,Entropy/diversity over activity labels.,index,Behavioral variety of inferred activity states.,higher activity variety,30,2,Unstable under low event counts.,aware_log_coverage_flag,medium,planned
