table_name,phase1_role,phenotype_domain,include_in_phase1,reason_for_inclusion,subject_coverage_summary,early_late_limitations,feature_extraction_priority,interpretation_warning,next_feature_examples
screen,core_phenotype,phone_usage,yes,high interpretability and coverage in early plus some late support,"early_subjects=8, late_subjects=2, total_rows=8560",usable_for_change_in_limited_subjects,high,screen events may reflect phone availability not full behavior,screen_on_count;screen_off_count;night_screen_events
applications_foreground,core_phenotype,phone_usage/app_use,yes,high interpretability and coverage,"early_subjects=8, late_subjects=2, total_rows=26873",usable_for_change_in_limited_subjects,high,foreground logs can include system/app noise,app_switch_count;top_app_time_share;entropy_app_use
keyboard,core_phenotype,phone_interaction,yes,high baseline coverage and some late coverage,"early_subjects=8, late_subjects=2, total_rows=14704",usable_for_change_in_limited_subjects,high,keyboard events depend on input method settings,keyboard_event_count;active_hours_keyboard;typing_burstiness
touch,core_phenotype,phone_interaction,yes,strong baseline coverage across subjects,"early_subjects=8, late_subjects=0, total_rows=47620",mostly_baseline_only_due_to_sparse_late,high,touch volume may be affected by app design/gestures,touch_event_count;touch_active_minutes;touch_burstiness
plugin_google_activity_recognition,core_phenotype,activity_pattern,yes,good early coverage with late support,"early_subjects=8, late_subjects=2, total_rows=12501",usable_for_change_in_limited_subjects,high,activity labels are model-derived and device dependent,walking_share;still_share;activity_transitions
gsm,optional_context,cellular_context/mobility_proxy,yes,useful context and decent baseline coverage,"early_subjects=8, late_subjects=1, total_rows=8223",mostly_baseline_only_due_to_sparse_late,medium,cellular metrics depend on network conditions,signal_strength_stats;cell_tower_changes;coverage_stability
gsm_neighbor,optional_context,cellular_context/mobility_proxy,yes,context proxy; useful where available,"early_subjects=5, late_subjects=1, total_rows=15875",mostly_baseline_only_due_to_sparse_late,medium,high sparsity in some subjects/devices,neighbor_cell_count;neighbor_change_rate
telephony,optional_context,social_communication,yes,communication/network context with baseline coverage,"early_subjects=8, late_subjects=1, total_rows=8302",mostly_baseline_only_due_to_sparse_late,medium,contains network/line state more than behavior,network_type_share;service_state_changes
messages,optional_context,social_communication,yes,interpretable but sparse; keep optional,"early_subjects=4, late_subjects=0, total_rows=319",mostly_baseline_only_due_to_sparse_late,low,very sparse; risk of unstable estimates,message_event_count;in_out_ratio
aware_log,data_quality_denominator,data_quality/system_log,yes,essential denominator for interpreting missingness,"early_subjects=8, late_subjects=2, total_rows=348082",usable_for_change_in_limited_subjects,high,not a direct phenotype table; do not use as behavioral endpoint,sync_event_rate;sensor_upload_gaps;error_log_rate
battery,excluded_phase1,device_routine/data_quality,no,no meaningful early/late rows in current top10 coverage,"early_subjects=0, late_subjects=0, total_rows=0",sparse_or_none,none,missing here should not be overinterpreted,
wifi,excluded_phase1,environment_context,no,no meaningful early/late rows in current top10 coverage,"early_subjects=0, late_subjects=0, total_rows=0",sparse_or_none,none,absence may be sampling/config related,
locations,excluded_phase1,mobility,no,very sparse in current top10 coverage,"early_subjects=0, late_subjects=1, total_rows=3",late_only_or_sparse_early,none,sparse location can bias mobility inference,
calls,excluded_phase1,social_communication,no,no meaningful early/late rows in current top10 coverage,"early_subjects=0, late_subjects=0, total_rows=0",sparse_or_none,none,call logs may be absent due permissions/policy,
light,later_only,environment_context,no,manual key confirmed but deferred for DB safety,not_scanned_in_top10_coverage,not_scanned,later,low light can mean pocket/bag artifact,
proximity,later_only,phone_carry_state/context,no,manual key confirmed but deferred for DB safety,not_scanned_in_top10_coverage,not_scanned,later,device-dependent thresholds,
barometer,later_only,environment_context,no,low-priority context table deferred,not_scanned_in_top10_coverage,not_scanned,later,weak proxy for behavior,
accelerometer|linear_accelerometer|gyroscope|rotation|gravity|magnetometer,later_high_frequency,high_frequency_motion,no,postponed due scale and query cost,not_scanned_in_top10_coverage,not_scanned,later,requires dedicated chunked/day-level strategy,
sensor_*,ignored_operational,operational,no,operational ingestion tables not for analysis,not_scanned_in_top10_coverage,not_scanned,none,not behavioral observations,
